created_at,run_started_at,model_name,image_size,best_epoch,epochs_completed,val_loss,primary_f1,secondary_f1,batch_size,num_workers,num_epochs,early_stopping_patience,seed,prediction_threshold,use_amp,device,train_samples,val_samples,num_classes,num_parameters,learning_rate,weight_decay,criterion,optimizer,scheduler,pretrained_weights,model_path,val_submission_csv,deterministic,warmup_ratio,min_lr,weight_decay_param_groups,run_completed_at,run_id,head_learning_rate,backbone_learning_rate,model_specific_weight_decay,min_warmup_epochs
2026-04-24T12:47:54,2026-04-24T12:19:03,convnext-tiny,224,2,7,0.000734,0.581561,0.917249,32,6,20,5,42,0.6,True,cuda,97364,19240,2646,29854902,0.0001,0.0001,AsymmetricLoss,AdamW,ReduceLROnPlateau,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_convnext-tiny_model.pt,convnext-tiny_val_submission.csv,,,,,,,,,,
2026-04-24T13:55:46,2026-04-24T13:14:30,convnext-tiny,224,5,10,0.000718,0.580627,0.916637,32,6,20,5,42,0.6,True,cuda,97364,19240,2646,29854902,0.0001,0.0001,AsymmetricLoss,AdamW,ReduceLROnPlateau,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_convnext-tiny_model.pt,convnext-tiny_val_submission.csv,False,,,,,,,,,
2026-04-24T14:45:28,2026-04-24T13:59:23,convnext-tiny,224,4,11,0.000712,0.581799,0.915779,32,6,30,7,42,0.6,True,cuda,97364,19240,2646,29854902,0.0001,0.02,AsymmetricLoss,AdamW,SequentialLR,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_convnext-tiny_model.pt,convnext-tiny_val_submission.csv,False,0.05,1e-06,True,,,,,,
2026-04-24T16:08:46,2026-04-24T14:47:51,convnext-tiny,320,5,12,0.000704,0.584901,0.921293,32,6,30,7,42,0.6,True,cuda,97364,19240,2646,29854902,0.0001,0.02,AsymmetricLoss,AdamW,SequentialLR,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_convnext-tiny_model.pt,convnext-tiny_val_submission.csv,False,0.05,1e-06,True,,,,,,
2026-04-27T12:42:17,2026-04-27T10:31:58,convnext,288,4,11,0.000696,0.587872,0.920063,32,6,30,7,42,0.6,True,cuda,97364,19240,2646,90278614,0.0001,0.02,AsymmetricLoss,AdamW,SequentialLR,ConvNeXt_Base_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_convnext_model.pt,convnext_val_submission.csv,False,0.05,1e-06,True,,,,,,
2026-04-27T15:01:11,2026-04-27T13:48:54,tresnet,280,6,13,0.000742,0.584012,0.922027,32,6,30,7,42,0.6,True,cuda,97364,19240,2646,34761686,0.0001,0.02,AsymmetricLoss,AdamW,SequentialLR,,/home/userdata/karandreas/image-clef-2026/models/concept_tresnet_model.pt,tresnet_val_submission.csv,False,0.05,1e-06,False,,,,,,
2026-04-27T17:36:25,2026-04-27T15:21:44,dinov2,224,9,16,0.000727,0.579496,0.914618,32,6,30,7,42,0.6,True,cuda,97364,19240,2646,88616790,0.0001,0.02,AsymmetricLoss,AdamW,SequentialLR,,/home/userdata/karandreas/image-clef-2026/models/concept_dinov2_model.pt,dinov2_val_submission.csv,False,0.05,1e-06,False,,,,,,
2026-04-27T22:13:09,2026-04-27T21:21:04,efficientnet,224,10,14,0.000758,0.583061,0.920585,32,6,30,4,42,0.6,True,cuda,97364,19240,2646,7397074,0.0001,0.001,AsymmetricLoss,AdamW,SequentialLR,EfficientNet_B0_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/concept_efficientnet_model.pt,efficientnet_val_submission.csv,False,0.05,1e-06,False,,,,,,
2026-04-29T04:57:40,2026-04-29T04:07:55,convnext-tiny,224,7,12,0.000733,0.583145,0.919506,32,6,25,5,42,0.6,True,cuda,97364,19240,2646,29854902,,0.05,AsymmetricLoss,AdamW,SequentialLR,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,/home/userdata/karandreas/image-clef-2026/models/convnext-tiny/20260429_040755_convnext-tiny_img224_seed42/model.pt,convnext-tiny_val_submission.csv,True,0.05,1e-06,True,2026-04-29T04:57:40,20260429_040755_convnext-tiny_img224_seed42,0.0001,1e-05,True,
2026-04-29T14:28:05,2026-04-29T12:38:24,dinov2,224,8,13,0.000709,0.581738,0.915400,32,6,20,5,42,0.6,True,cuda,97364,19240,2646,90650454,,0.001,AsymmetricLoss,AdamW,SequentialLR,,/home/userdata/karandreas/image-clef-2026/models/dinov2/20260429_123824_dinov2_img224_seed42/model.pt,20260429_123824_dinov2_img224_seed42_val_submission.csv,True,0.05,1e-06,True,2026-04-29T14:28:05,20260429_123824_dinov2_img224_seed42,0.0001,1e-05,False,2
